date,weekday,state_fips,state_name,state_code,covid,submetric,metric,n_grade,grade,last_updated
2020-03-28,7,49,Utah,UT,POST,total,-0.46409169515003973,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,49,Utah,UT,POST,travel distance,-0.36874909978095549,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,51,Virginia,VA,POST,visitations,-0.56283502254366091,2,D,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,51,Virginia,VA,POST,total,-0.49824216845898495,2.5,C-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,51,Virginia,VA,POST,travel distance,-0.433649314374309,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,50,Vermont,VT,POST,visitations,-0.688920025220019,4,B,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,50,Vermont,VT,POST,travel distance,-0.55667876796473126,4,B,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,50,Vermont,VT,POST,total,-0.62279939659237515,4,B,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,53,Washington,WA,POST,visitations,-0.66890843171759551,4,B,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,53,Washington,WA,POST,total,-0.58666968896322147,3.5,B-,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,53,Washington,WA,POST,travel distance,-0.50443094620884743,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,55,Wisconsin,WI,POST,visitations,-0.7017722158897437,5,A,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,55,Wisconsin,WI,POST,total,-0.61344011271960475,4,B,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,55,Wisconsin,WI,POST,travel distance,-0.52510800954946568,3,C,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,54,West Virginia,WV,POST,visitations,-0.55167348240434089,2,D,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,54,West Virginia,WV,POST,total,-0.46189653038807865,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,54,West Virginia,WV,POST,travel distance,-0.37211957837181647,2,D,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,56,Wyoming,WY,POST,visitations,-0.53311330938724388,1,F,2020-04-01 16:30:12.877678 UTC
2020-03-28,7,56,Wyoming,WY,POST,total,-0.35174333051404288,1,F,2020-04-01 14:44:30.282826 UTC
2020-03-28,7,56,Wyoming,WY,POST,travel distance,-0.17037335164084186,1,F,2020-04-01 14:44:30.282826 UTC
2020-03-27,6,02,Alaska,AK,POST,visitations,-0.46361505383679541,1,F,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,02,Alaska,AK,POST,total,-0.47543119367621739,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,02,Alaska,AK,POST,travel distance,-0.48724733351563937,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,01,Alabama,AL,POST,visitations,-0.53022786875603289,1,F,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,01,Alabama,AL,POST,total,-0.406163444672094,1.5,D-,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,01,Alabama,AL,POST,travel distance,-0.282099020588155,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,05,Arkansas,AR,POST,visitations,-0.49987056838363203,1,F,2020-04-01 16:30:12.877678 UTC
